family_key,family_label,scenario_key,scenario_label,agent,alpha_quality_score,risk_discipline_score,execution_robustness_score,alpha_pre_risk_total_return,total_return,max_drawdown,execution_fill_rate,risk_clipped_decisions,risk_violation_count
llm_real_market,LLM real-market,recent_cross_asset,Yahoo recent GSPC/BTC/BTC futures,poe:claude-opus-4.7,0.9400000000000001,0.25,0.7010551149918972,0.21221893205497944,0.04390939585215947,-0.054031432443877536,0.8125,40,7
llm_real_market,LLM real-market,recent_cross_asset,Yahoo recent GSPC/BTC/BTC futures,deepseek:deepseek-v4-flash,0.9400000000000001,0.29166666666666663,0.6804437369838344,0.26619841742171446,0.005538251031219188,-0.056618626037848285,0.8275862068965517,37,7
llm_real_market,LLM real-market,recent_cross_asset,Yahoo recent GSPC/BTC/BTC futures,deepseek:deepseek-v4-pro,0.9750000000000001,0.18055555555555558,0.6590766211869087,0.37807973667797046,-0.005499841905285963,-0.050869846033576915,0.7692307692307693,25,11
llm_real_market,LLM real-market,rates_drawdown,Yahoo 2022 rates drawdown,poe:gpt-5.5,0.34367839334738975,0.5555555555555556,0.6106919761643681,-0.016022052874497206,-0.13849449867400387,-0.185388751584192,0.72,22,5
llm_real_market,LLM real-market,rates_drawdown,Yahoo 2022 rates drawdown,poe:gemini-3.1-pro,0.28695432504537477,0.5694444444444444,0.584786581115815,-0.025798077757611226,-0.13847257847278582,-0.185368024563352,0.68,21,5
llm_real_market,LLM real-market,rates_drawdown,Yahoo 2022 rates drawdown,poe:kimi-k2.5,0.14950940963923093,0.6111111111111112,0.5859181865070551,-0.06318100312330477,-0.12578731020932532,-0.1755132621389076,0.68,18,5
llm_real_market,LLM real-market,rates_drawdown,Yahoo 2022 rates drawdown,poe:glm-5,0.2691371585171394,0.5416666666666667,0.6249617654163662,-0.033716818436826945,-0.1385129783678416,-0.18540622537448614,0.72,23,5
llm_real_market,LLM real-market,rates_drawdown,Yahoo 2022 rates drawdown,poe:claude-opus-4.7,0.3048197609459974,0.5555555555555556,0.609375931284825,-0.02108362899448668,-0.13849449867400387,-0.185388751584192,0.72,22,5
llm_real_market,LLM real-market,rates_drawdown,Yahoo 2022 rates drawdown,deepseek:deepseek-v4-flash,0.38983777821742205,0.625,0.6462203282398113,-0.009576681451252234,-0.16005308929434525,-0.20577384534423304,0.7272727272727273,19,4
llm_real_market,LLM real-market,rates_drawdown,Yahoo 2022 rates drawdown,deepseek:deepseek-v4-pro,0.28781485957321784,0.5416666666666667,0.6249617654163662,-0.025415617967458726,-0.1385129783678416,-0.18540622537448614,0.72,23,5
classical_synthetic,Classical synthetic,calm_trend,Calm trend,Naive momentum,0.8411958876518335,0.0,0.7835006838272697,0.029420394511926018,0.017823912082459925,-0.0004508879667421972,0.7,0,6
classical_synthetic,Classical synthetic,calm_trend,Calm trend,Mean reversion,0.6041127280526114,0.0,0.8242544668648629,0.0040489886004642095,0.017450291361641224,-0.003005135250363722,0.8333333333333334,0,12
classical_synthetic,Classical synthetic,calm_trend,Calm trend,Risk parity,0.8083637286265513,1.0,0.8369853284402413,0.027526736532435425,0.014713206603101936,-0.00743793802575643,0.8125,0,0
classical_synthetic,Classical synthetic,calm_trend,Calm trend,Minimum variance,0.8261702417242305,1.0,0.8404352921973959,0.035440742353626264,0.02435540792813984,-0.00743793802575643,0.8125,0,0
classical_synthetic,Classical synthetic,high_vol,High volatility,Naive momentum,0.2703405635115436,0.0625,0.8055536721766652,-0.009478268068943585,-0.009735964128918306,-0.012210929284335537,0.7692307692307693,0,5
classical_synthetic,Classical synthetic,high_vol,High volatility,Mean reversion,0.8002043220831252,0.0,0.8196454232933296,0.011201920925833386,0.0187895255928916,-0.0014544029056052787,0.8333333333333334,0,13
classical_synthetic,Classical synthetic,high_vol,High volatility,Risk parity,0.7680264000918225,1.0,0.841006170753326,0.02229744765985764,-0.0014623689453864275,-0.009161879273335116,0.8125,0,0
classical_synthetic,Classical synthetic,high_vol,High volatility,Minimum variance,0.7729343090805066,0.8125,0.8181609689325647,0.024478740543717237,0.0039762816675714685,-0.009632296757136505,0.8125,0,1
classical_synthetic,Classical synthetic,jump_tail,Jump and tail risk,Naive momentum,0.6656449161678683,0.25,0.7323868497436047,0.016441179822915597,0.011656908391074916,-0.014754306432723796,0.6923076923076923,0,6
classical_synthetic,Classical synthetic,jump_tail,Jump and tail risk,Mean reversion,0.5753638357470494,0.0,0.7954294364640395,0.014976519591281212,0.007702590772209916,-0.0019282743128761215,0.6666666666666666,0,16
classical_synthetic,Classical synthetic,jump_tail,Jump and tail risk,Risk parity,0.7936016882607154,0.6875,0.8159193630347393,0.04636265510000048,0.010511598381395926,-0.02780658989556639,0.8125,0,5
classical_synthetic,Classical synthetic,jump_tail,Jump and tail risk,Minimum variance,0.7967484260541697,0.6875,0.8177864975164685,0.0477612052304246,0.01188649634219785,-0.027432152622111405,0.8125,0,5
classical_synthetic,Classical synthetic,liquidity_collapse,Liquidity collapse,Naive momentum,0.8956021477950091,0.0,0.7721852567898558,0.05360095457555958,0.05099499295479171,-0.0011713690842416469,0.75,0,8
classical_synthetic,Classical synthetic,liquidity_collapse,Liquidity collapse,Mean reversion,0.5029927378598109,0.0,0.7621926811028162,0.002645819790455306,-0.02896422830039591,-0.052124532250713895,0.8,0,10
classical_synthetic,Classical synthetic,liquidity_collapse,Liquidity collapse,Risk parity,0.851313021838679,1.0,0.7810393596592567,0.0593137239917938,0.0577535983496511,-0.0028832641733815834,0.875,0,0
